epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,7737.51,1.63888,1.69173,1.45576,0.52431,0.54002,0.53262,0.28664,1.50954,1.48544,1.42189,0.000749939,0.000749939,0.000749939
26,8253.69,1.61453,1.66288,1.43827,0.53271,0.56431,0.54587,0.28842,1.51834,1.45862,1.43207,0.000721645,0.000721645,0.000721645
27,8758.29,1.61299,1.6291,1.44472,0.50331,0.5828,0.52445,0.277,1.53246,1.46624,1.43333,0.000693351,0.000693351,0.000693351
28,9216.61,1.60911,1.62797,1.43948,0.53311,0.566,0.54382,0.2913,1.51494,1.44846,1.42331,0.000665057,0.000665057,0.000665057
29,9657.37,1.59031,1.61595,1.42814,0.56408,0.57736,0.57099,0.30776,1.50416,1.39541,1.41816,0.000636762,0.000636762,0.000636762
30,10135.1,1.59253,1.58732,1.42442,0.56156,0.58162,0.57719,0.31388,1.49582,1.3774,1.41246,0.000608468,0.000608468,0.000608468
31,10645.3,1.5793,1.58397,1.41968,0.54579,0.59245,0.57596,0.31511,1.48037,1.37222,1.39702,0.000580174,0.000580174,0.000580174
32,11103.6,1.57679,1.5718,1.40868,0.54986,0.61168,0.58439,0.32405,1.46894,1.36196,1.39026,0.00055188,0.00055188,0.00055188
33,11280.5,1.56597,1.5412,1.40683,0.5665,0.59689,0.57425,0.32006,1.46895,1.36905,1.39669,0.000523586,0.000523586,0.000523586
34,11461.3,1.55115,1.5302,1.39721,0.56334,0.61154,0.59813,0.32708,1.46921,1.33249,1.39436,0.000495291,0.000495291,0.000495291
35,11642.1,1.55461,1.54501,1.40107,0.57423,0.60441,0.59117,0.32812,1.473,1.34433,1.38902,0.000466997,0.000466997,0.000466997
36,11870,1.54034,1.49929,1.38972,0.57953,0.62287,0.60943,0.33961,1.46841,1.30568,1.39732,0.000438703,0.000438703,0.000438703
37,12175.2,1.5363,1.49479,1.38669,0.58721,0.61713,0.60783,0.33974,1.46154,1.31483,1.39089,0.000410409,0.000410409,0.000410409
38,12468.1,1.52443,1.47763,1.38071,0.58853,0.61481,0.60383,0.33636,1.44454,1.31786,1.37605,0.000382115,0.000382115,0.000382115
39,12769.6,1.51048,1.46196,1.37196,0.58091,0.62686,0.61459,0.34583,1.45976,1.29527,1.38215,0.00035382,0.00035382,0.00035382
40,13071.7,1.50453,1.44063,1.37129,0.60272,0.61528,0.62894,0.35324,1.45828,1.26787,1.38367,0.000325526,0.000325526,0.000325526
41,13355.4,1.47285,1.35835,1.38517,0.59486,0.63919,0.6333,0.35542,1.45697,1.26582,1.38082,0.000297232,0.000297232,0.000297232
42,13646.6,1.44518,1.31646,1.36101,0.60845,0.62092,0.63531,0.35357,1.44962,1.26252,1.37641,0.000268938,0.000268938,0.000268938
43,13896.1,1.43872,1.2968,1.3654,0.62416,0.63174,0.64628,0.36837,1.44166,1.26069,1.37484,0.000240644,0.000240644,0.000240644
44,14126.8,1.42483,1.27684,1.36007,0.61005,0.64495,0.6487,0.36653,1.44841,1.23736,1.38358,0.000212349,0.000212349,0.000212349
45,14379,1.4108,1.27037,1.34793,0.61697,0.65572,0.6571,0.37685,1.43891,1.21737,1.37116,0.000184055,0.000184055,0.000184055
46,14643.8,1.41191,1.25286,1.34753,0.61651,0.65316,0.66311,0.38265,1.43428,1.20088,1.36765,0.000155761,0.000155761,0.000155761
47,14912.5,1.38632,1.21694,1.33328,0.61359,0.66735,0.67068,0.38718,1.43684,1.20169,1.36889,0.000127467,0.000127467,0.000127467
48,15160.2,1.37567,1.2068,1.32642,0.63266,0.65198,0.67326,0.38804,1.43641,1.20039,1.37102,9.91726e-05,9.91726e-05,9.91726e-05
49,15319.6,1.37867,1.20039,1.32722,0.63966,0.65043,0.67408,0.38874,1.43072,1.19326,1.36424,7.08784e-05,7.08784e-05,7.08784e-05
50,15484.9,1.3747,1.18592,1.31957,0.64024,0.65233,0.67649,0.39027,1.43197,1.18718,1.36647,4.25842e-05,4.25842e-05,4.25842e-05
1,227.892,2.13194,3.61857,1.79248,0.27589,0.35521,0.22206,0.09866,1.79925,2.51281,1.52379,0.00332645,0.00332645,0.00332645
2,720.3,1.9492,2.73142,1.6098,0.31162,0.30141,0.21564,0.0941,1.9275,2.31577,1.62689,0.00661583,0.00661583,0.00661583
3,1240.66,2.01463,2.51782,1.65683,0.30073,0.30485,0.22682,0.09288,1.9072,2.64241,1.65849,0.0098612,0.0098612,0.0098612
4,1752.72,2.0507,2.44844,1.71322,0.28171,0.36591,0.23704,0.09726,1.9283,2.53727,1.73965,0.009802,0.009802,0.009802
1,534.122,2.12682,3.6096,1.78421,0.29129,0.33179,0.22763,0.09914,1.78977,2.54166,1.52581,0.00332645,0.00332645,0.00332645
2,914.255,1.95537,2.73853,1.61316,0.28977,0.32979,0.22496,0.09851,1.83948,2.34471,1.59837,0.00661583,0.00661583,0.00661583
3,1095.32,2.01242,2.53617,1.66545,0.20255,0.27411,0.16337,0.0656,2.02463,2.57171,1.77261,0.0098612,0.0098612,0.0098612
4,1277.97,2.04146,2.42329,1.72141,0.22449,0.30841,0.18639,0.0782,1.95953,2.64259,1.7197,0.009802,0.009802,0.009802
5,1460.36,1.99479,2.31797,1.70511,0.32515,0.38436,0.29118,0.13098,1.7906,2.10269,1.61601,0.009736,0.009736,0.009736
6,1642.66,1.93338,2.21308,1.65667,0.39211,0.37526,0.32146,0.14153,1.78072,2.11095,1.59668,0.00967,0.00967,0.00967
7,1825.38,1.89194,2.15358,1.63283,0.40667,0.4408,0.36225,0.16578,1.73248,1.86142,1.54879,0.009604,0.009604,0.009604
8,2011.25,1.86744,2.08594,1.61925,0.41057,0.39803,0.35794,0.16166,1.71817,1.87336,1.57135,0.009538,0.009538,0.009538
9,2205.28,1.85193,2.07095,1.61076,0.39433,0.45272,0.37966,0.18364,1.69326,1.84223,1.55524,0.009472,0.009472,0.009472
10,2403.36,1.82277,2.01419,1.58467,0.40893,0.44213,0.37174,0.17909,1.72045,1.87581,1.55518,0.009406,0.009406,0.009406
11,2600.7,1.81176,1.99572,1.58085,0.43862,0.47594,0.4018,0.19416,1.68259,1.80122,1.55791,0.00934,0.00934,0.00934
12,2796.26,1.79607,1.96472,1.56925,0.40879,0.43968,0.38664,0.18966,1.67099,1.80519,1.53777,0.009274,0.009274,0.009274
13,2984.84,1.78226,1.93589,1.55949,0.42863,0.44549,0.39987,0.19583,1.66917,1.80291,1.53158,0.009208,0.009208,0.009208
14,3177.64,1.7744,1.91404,1.56231,0.44165,0.47505,0.40879,0.20198,1.6383,1.743,1.52539,0.009142,0.009142,0.009142
15,3369.59,1.74827,1.87785,1.54577,0.47696,0.52396,0.46198,0.23311,1.61441,1.68043,1.50833,0.009076,0.009076,0.009076
16,3560.21,1.73918,1.87664,1.53148,0.48265,0.48389,0.45838,0.22926,1.61093,1.67869,1.49514,0.00901,0.00901,0.00901
17,3750.98,1.74138,1.86239,1.53052,0.42075,0.52574,0.43542,0.21786,1.59441,1.65413,1.49389,0.008944,0.008944,0.008944
18,3938.05,1.7378,1.84011,1.51999,0.45204,0.50244,0.44637,0.22292,1.61628,1.66951,1.49963,0.008878,0.008878,0.008878
19,4118.58,1.71126,1.80568,1.50861,0.481,0.52499,0.47082,0.23782,1.61814,1.61902,1.49214,0.008812,0.008812,0.008812
20,4301.86,1.71438,1.79682,1.50805,0.52519,0.49118,0.48657,0.24817,1.59239,1.59001,1.47069,0.008746,0.008746,0.008746
21,4482.92,1.70864,1.80074,1.51015,0.49395,0.54013,0.49526,0.25124,1.56206,1.58689,1.46691,0.00868,0.00868,0.00868
22,4662.95,1.68463,1.77412,1.49787,0.49095,0.51876,0.47172,0.24616,1.58581,1.59468,1.47575,0.008614,0.008614,0.008614
23,4842.62,1.68488,1.77026,1.49337,0.49128,0.55969,0.49106,0.25476,1.56804,1.54495,1.45689,0.008548,0.008548,0.008548
24,5022.62,1.6875,1.74842,1.49154,0.50213,0.53791,0.50726,0.25871,1.56848,1.54081,1.45663,0.008482,0.008482,0.008482
25,5202.26,1.67243,1.73459,1.48451,0.52413,0.54933,0.5306,0.27766,1.55775,1.52367,1.44433,0.008416,0.008416,0.008416
26,5382.02,1.66229,1.72071,1.47736,0.52658,0.54019,0.50764,0.26811,1.55117,1.53222,1.44028,0.00835,0.00835,0.00835
27,5563.78,1.66467,1.69516,1.47507,0.53632,0.56065,0.53943,0.28585,1.5413,1.48538,1.42866,0.008284,0.008284,0.008284
28,5742.64,1.66598,1.69667,1.47001,0.53792,0.51706,0.52288,0.27528,1.54486,1.48997,1.43512,0.008218,0.008218,0.008218
29,5924.01,1.64385,1.67689,1.45932,0.54194,0.54657,0.52787,0.27993,1.52731,1.48267,1.4335,0.008152,0.008152,0.008152
30,6104.67,1.65169,1.69105,1.46652,0.53359,0.56206,0.53893,0.29222,1.5087,1.48093,1.41804,0.008086,0.008086,0.008086
31,6283.72,1.64207,1.66116,1.45663,0.55517,0.55875,0.55423,0.29714,1.51873,1.468,1.41724,0.00802,0.00802,0.00802
32,6465.61,1.62578,1.6491,1.44637,0.52275,0.59221,0.55116,0.29689,1.50018,1.4403,1.404,0.007954,0.007954,0.007954
33,6652.55,1.62604,1.6437,1.44411,0.56601,0.5759,0.5628,0.29467,1.52251,1.45433,1.41758,0.007888,0.007888,0.007888
34,6837.36,1.63115,1.64322,1.44835,0.54743,0.56162,0.5579,0.2929,1.51259,1.43107,1.40347,0.007822,0.007822,0.007822
35,7017.25,1.61291,1.63067,1.42745,0.5532,0.57199,0.56374,0.30126,1.51339,1.41743,1.40407,0.007756,0.007756,0.007756
36,7196.09,1.61421,1.61716,1.44051,0.54541,0.56978,0.55571,0.29829,1.51384,1.45181,1.42148,0.00769,0.00769,0.00769
37,7376.8,1.60337,1.60443,1.43103,0.56934,0.5785,0.57885,0.31724,1.50306,1.4072,1.4177,0.007624,0.007624,0.007624
38,7557.14,1.60103,1.59522,1.4252,0.57298,0.5682,0.5744,0.31486,1.47991,1.38695,1.38865,0.007558,0.007558,0.007558
39,7736.08,1.5906,1.58591,1.42436,0.56105,0.58974,0.58017,0.31748,1.48643,1.38911,1.39604,0.007492,0.007492,0.007492
40,7915.69,1.59571,1.57302,1.42467,0.5738,0.58716,0.57424,0.31554,1.49661,1.39179,1.3928,0.007426,0.007426,0.007426
41,8096.44,1.58967,1.55976,1.41176,0.57036,0.58786,0.59322,0.32992,1.48694,1.37168,1.39273,0.00736,0.00736,0.00736
42,8276.97,1.57559,1.56101,1.40816,0.58174,0.5832,0.58027,0.32035,1.48453,1.35758,1.39194,0.007294,0.007294,0.007294
43,8455.71,1.58057,1.54824,1.41081,0.58753,0.60861,0.60528,0.33288,1.4907,1.34461,1.38619,0.007228,0.007228,0.007228
44,8635.05,1.57477,1.54812,1.40691,0.57178,0.5733,0.58373,0.31606,1.48253,1.37099,1.38904,0.007162,0.007162,0.007162
45,8814.5,1.57132,1.52568,1.40317,0.59367,0.59114,0.59285,0.32202,1.4813,1.34478,1.38781,0.007096,0.007096,0.007096
46,8993.95,1.57337,1.52776,1.40694,0.57936,0.60827,0.60414,0.33337,1.47075,1.3234,1.37898,0.00703,0.00703,0.00703
47,9173.91,1.56013,1.51423,1.39953,0.56289,0.61098,0.60012,0.33198,1.48145,1.32967,1.39063,0.006964,0.006964,0.006964
48,9356.96,1.5614,1.51861,1.39877,0.61074,0.60432,0.62268,0.34885,1.45121,1.29329,1.37543,0.006898,0.006898,0.006898
49,9536.41,1.55622,1.50154,1.39594,0.60118,0.60863,0.61794,0.34733,1.45132,1.28744,1.36745,0.006832,0.006832,0.006832
50,9715.36,1.54375,1.4763,1.3812,0.60796,0.60878,0.6107,0.34225,1.4488,1.28548,1.35934,0.006766,0.006766,0.006766
51,9894.64,1.54871,1.4749,1.37901,0.62579,0.61491,0.62736,0.35213,1.45284,1.27485,1.36024,0.0067,0.0067,0.0067
52,10074.8,1.53409,1.47197,1.38087,0.60392,0.63427,0.63078,0.3552,1.44945,1.28001,1.36163,0.006634,0.006634,0.006634
53,10255.6,1.53488,1.4611,1.37788,0.61885,0.61944,0.62036,0.34764,1.4559,1.27845,1.36127,0.006568,0.006568,0.006568
54,10436.7,1.54514,1.46766,1.38241,0.58534,0.62838,0.62929,0.35901,1.43796,1.25721,1.35193,0.006502,0.006502,0.006502
55,10616.6,1.52487,1.4518,1.36929,0.62061,0.62683,0.63997,0.36488,1.43877,1.23669,1.35429,0.006436,0.006436,0.006436
